ANNO;TRIMESTRE;MODALIDAD;ID_PROVEEDOR;PROVEEDOR;OPERADOR;OMV; ABONADOS 
2012;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1053589
2012;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;25019525
2012;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8675208
2012;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;5560145
2012;4;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;328663
2012;4;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;49247
2013;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5451409
2013;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3069394
2013;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1072786
2013;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;22209459
2013;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8446865
2013;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;5782365
2013;1;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;343645
2013;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;89879
2013;1;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;41654
2013;1;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;5644
2013;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5519342
2013;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3190050
2013;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1126164
2013;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;22285853
2013;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8490093
2013;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;5897598
2013;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;376516
2013;2;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;121400
2013;2;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;171000
2013;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;91605
2013;2;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;44065
2013;2;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;0
2013;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5600997
2013;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3263848
2013;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1179588
2013;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;22762739
2013;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8369640
2013;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;6112643
2013;3;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;390576
2013;3;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;314228
2013;3;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;181734
2013;3;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;313945
2013;3;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;44925
2013;3;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;103146
2013;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5714572
2013;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3303208
2013;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1253297
2013;4;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;322443
2013;4;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;158754
2013;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23262727
2013;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8818526
2013;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;6386940
2013;4;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;402350
2013;4;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;440667
2013;4;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;34543
2013;4;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;3678
2013;4;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;46814
2013;4;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;146595
2014;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5804166
2014;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3287289
2014;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1324528
2014;1;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;249016
2014;1;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;166594
2014;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23405593
2014;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9078989
2014;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;6632229
2014;1;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;409271
2014;1;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;856474
2014;1;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;36816
2014;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;101366
2014;1;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;47037
2014;1;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;195251
2014;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5832799
2014;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3299475
2014;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1375862
2014;2;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;260656
2014;2;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;166966
2014;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23276224
2014;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;8982442
2014;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;6944223
2014;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;416309
2014;2;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;1235298
2014;2;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;39057
2014;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;104444
2014;2;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;34684
2014;2;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;225573
2014;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5815472
2014;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3268298
2014;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1413261
2014;3;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;271111
2014;3;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;173410
2014;3;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;0
2014;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23475343
2014;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9313255
2014;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;7278910
2014;3;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;415300
2014;3;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;1704763
2014;3;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;71819
2014;3;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;108904
2014;3;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;0
2014;3;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;273818
2014;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5861323
2014;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3259884
2014;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1456460
2014;4;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;270937
2014;4;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;179548
2014;4;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;15381
2014;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23914416
2014;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9582614
2014;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;7695423
2014;4;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;529834
2014;4;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;1990965
2014;4;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;88307
2014;4;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;117058
2014;4;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;5789
2014;4;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;362788
2015;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5839969
2015;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3251694
2015;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1478754
2015;1;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;240902
2015;1;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;217960
2015;1;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;37395
2015;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23993649
2015;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9633221
2015;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;8214319
2015;1;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;457365
2015;1;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2118363
2015;1;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;94986
2015;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;117225
2015;1;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;33475
2015;1;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;410615
2015;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5811329
2015;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3254694
2015;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1466214
2015;2;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;223243
2015;2;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;277097
2015;2;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;74001
2015;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23558776
2015;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9158571
2015;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;8658535
2015;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;400901
2015;2;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2258306
2015;2;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;156474
2015;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;117084
2015;2;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;88336
2015;2;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;478895
2015;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5827131
2015;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3313709
2015;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1478644
2015;3;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;206308
2015;3;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;310911
2015;3;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;135295
2015;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23103921
2015;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9341847
2015;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;8933957
2015;3;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;285164
2015;3;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2254035
2015;3;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;239049
2015;3;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;117046
2015;3;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;138430
2015;3;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;573124
2015;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5869203
2015;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3385539
2015;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1491435
2015;4;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;184298
2015;4;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;325807
2015;4;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;192457
2015;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;23103921
2015;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9510905
2015;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;9422603
2015;4;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;190413
2015;4;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2257434
2015;4;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;371110
2015;4;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;116931
2015;4;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;197714
2015;4;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;707700
2016;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;5938432
2016;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3432238
2016;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1418918
2016;1;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;149241
2016;1;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;339292
2016;1;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;203800
2016;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;22401429
2016;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9625081
2016;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;9620115
2016;1;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;140208
2016;1;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2410223
2016;1;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;454490
2016;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;116869
2016;1;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;214470
2016;1;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;827815
2016;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;6082968
2016;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3506690
2016;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;1373826
2016;2;POSPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;129857
2016;2;POSPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;365297
2016;2;POSPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;232506
2016;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;22176568
2016;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;9730236
2016;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;TIGO;TIGO;9954407
2016;2;PREPAGO;900367669;UFF MOVIL SAS;TIGO;UFF;99144
2016;2;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;MOVISTAR;VIRGIN;2352617
2016;2;PREPAGO;830016046;AVANTEL S.A.S.;WOM;WOM;611735
2016;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;TIGO;UNE;106073
2016;2;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;TIGO;ETB;258305
2016;2;PREPAGO;900389508;ALMACENES EXITO INVERSIONES S.A.S.;TIGO;EXITO;947183
2016;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;COMCEL;COMCEL;6223746
2016;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;MOVISTAR;MOVISTAR;3560843
